ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1915.79 -999.0 74037.5038355 74101.924911 74122.9155612 74122.9155612
 1915.87 -999.0 60012.7261175 60068.4235559 60108.1228452 60108.1228452
 1915.96 -999.0 60130.3026445 60204.7664945 60258.2396942 60258.2396942
 1916.04 -999.0 67035.5429004 67140.9535162 67213.6553069 67213.6553069
 1916.12 -999.0 96417.6916862 96617.3339523 96711.1852674 96711.1852674
 1916.2 -999.0 113299.576122 113509.299677 113591.461704 113591.461704
 1916.29 -999.0 124776.387403 124921.367321 125030.191324 125030.191324
 1916.37 -999.0 144221.952377 144413.766478 144476.353279 144476.353279
 1916.45 -999.0 142629.773048 142808.395778 142852.668718 142852.668718
 1916.54 -999.0 131359.488581 131514.501644 131549.627282 131549.627282
 1916.62 -999.0 106180.905246 106296.257535 106320.935992 106320.935992
 1916.71 -999.0 87763.8821299 87847.3055211 87869.1627577 87869.1627577
 1916.79 -999.0 66375.4350971 66458.2759497 66477.0808761 66477.0808761
 1916.87 -999.0 52276.5305351 52350.7873672 52380.7712592 52380.7712592
 1916.96 -999.0 58225.9259105 58319.3150461 58369.3074569 58369.3074569
 1917.04 -999.0 81724.1980727 81883.572954 81977.944221 81977.944221
 1917.12 -999.0 126580.225663 126799.905335 126949.622591 126949.622591
 1917.2 -999.0 136774.98003 137035.244834 137107.460374 137107.460374
 1917.29 -999.0 151325.198013 151582.699369 151630.178679 151630.178679
 1917.37 -999.0 168697.714824 168901.921112 168971.767982 168971.767982
 1917.45 -999.0 158862.747904 159048.370726 159107.404523 159107.404523
 1917.54 -999.0 146217.479565 146365.1459 146410.680204 146410.680204
 1917.62 -999.0 113602.679184 113711.609104 113746.474766 113746.474766
 1917.71 -999.0 98084.9559179 98173.7328878 98209.0318435 98209.0318435
 1917.79 -999.0 89929.4624702 90017.8831768 90049.2439784 90049.2439784
 1917.87 -999.0 60180.1891392 60273.6649335 60292.8164945 60292.8164945
 1917.96 -999.0 60012.2446806 60133.894164 60159.6847403 60159.6847403
 1918.04 -999.0 72555.2365584 72727.1673148 72769.9526147 72769.9526147
 1918.12 -999.0 94379.5284438 94594.3167156 94699.5106848 94699.5106848
 1918.2 -999.0 115598.379689 115789.539037 115917.986409 115917.986409
 1918.29 -999.0 122218.763342 122414.987406 122513.364229 122513.364229
 1918.37 -999.0 141784.321656 142031.106226 142119.276586 142119.276586
 1918.45 -999.0 168478.853595 168725.90777 168818.054799 168818.054799
 1918.54 -999.0 140674.089581 140851.87461 140915.376141 140915.376141
 1918.62 -999.0 115379.21997 115512.683916 115553.981576 115553.981576
 1918.71 -999.0 88856.4936134 88960.6091639 88993.019498 88993.019498
 1918.79 -999.0 61438.3908547 61528.6169497 61547.0511698 61547.0511698
 1918.87 -999.0 51541.8770377 51638.8817647 51669.4626384 51669.4626384
 1918.96 -999.0 68234.4267718 68356.76471 68429.4472433 68429.4472433
 1919.04 -999.0 77606.0876767 77788.0082494 77859.352388 77859.352388
 1919.12 -999.0 98095.8460213 98335.871217 98441.662168 98441.662168
 1919.2 -999.0 117596.121487 117843.300836 117932.183722 117932.183722
 1919.29 -999.0 146754.262484 146959.547191 147088.745605 147088.745605
 1919.37 -999.0 171264.139552 171499.485181 171600.086241 171600.086241
 1919.45 -999.0 152265.742828 152480.656273 152535.308994 152535.308994
 1919.54 -999.0 128497.230488 128679.531396 128717.20865 128717.20865
 1919.62 -999.0 107952.063567 108092.248373 108122.550013 108122.550013
 1919.71 -999.0 84720.0645422 84822.437291 84852.1130633 84852.1130633
 1919.79 -999.0 64895.0454241 64991.9971931 65017.3929911 65017.3929911
 1919.87 -999.0 61862.1323829 61971.197105 62011.0745259 62011.0745259
 1919.96 -999.0 71056.3982222 71170.1280682 71252.1745497 71252.1745497
 1920.04 -999.0 85386.8643188 85519.5483366 85679.693517 85679.693517
 1920.12 -999.0 130921.717981 131213.305071 131358.19833 131358.19833
 1920.2 -999.0 153908.251573 154170.32658 154279.198727 154279.198727
